"","text"
"347"," earth lady gaga wearing ufuf bidenharrisinauguration uselection bidenharris"
"348","rt arctikasylum joebiden realdonaldtrump congratulations goodbye cheeto man let door hit way joebiden u…"
"349","lady gaga fairly blasted ’m now tears uselection"
"350","joebiden inaugurated today th us president potus congs ufaa uselection httpstcotzlarzxgr"
"351","see ya donald definitely won’t missed donaldjtrump uselection"
"352","rt phntombrin exciting day usa joebiden kamalaharris new age will hopefully begin much love usa fr…"
"353","exciting day usa joebiden kamalaharris new age will hopefully begin much love … httpstcoaxbhtojs"
"354","presidentelectbiden massive job ahead inaugurated today us polarised moment… httpstcoxzlygvegvt"
"355","day made data model us election data powerbi daysofdata datascience mspowerbi uselection"
"356","taxi trump new president getting sworn previous one waiting taxi… httpstcothahyspib"
"357","follow live coverage transition power united states donald trump joe biden uselection… httpstcowhnsylfat"
"358","rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …"
"359","rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …"
"360","rt ronbrown way top year usa best seats house nickbryantny legendary bbc cameraman ron skean…"
"361","rt duasahildua reuters th amendment can used remove trump check interesting blog https…"
"362","well done skynews leaving mics find presenters really think uselection… httpstcordzvhxldw"
"363","rt geetamohan drsjaishankar uselection trump won us audience analyse change came indian …"
"364","reuters th amendment can used remove trump check interesting blog… httpstcocgafjdhqt"
"365","garybarlow happy birthday grandpa feel milestone birthday falling historic inau… httpstconcgqoqjqms"
"366","rt startimesghana us presidential inauguration watch inauguration joe biden th president united states america…"
"367","rt economictimes us election results crowd gathers iconic times square new york celebrate joe bidens win live updates http…"
"368","nightmareisover mock nytimes frontpage widely circulated mid uselection crea… httpstcotombaslyam"
"369","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"370","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"371"," way top year usa best seats house nickbryantny legendary bbc cameraman r… httpstcowvnfevaxi"
"372"," will newsreaders itvnews bbcnews channelnews amp skynews stop repeating amount votes loser… httpstcocubtqhokqj"
"373","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"374","rt theresaafallon german der spiegel’s take outcome uselection right trump cover httpstcoqtkcxvxck"
"375","inauguration potus follows tradition leaves note joebiden kamalaharris uselection httpstcobxbgkfz"
"376"," seems innocent proven guilty applies uselection authorities really investigate check ballots"
"377","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"378","joebiden congrats america corrupted system new wrap america democracy uselection"
"379","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"380","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"381","today first thing comes mind maybe now mother sisters will able see live … httpstcosoziphwq"
"382"," evidence voter fraud beg differ uselection httpstcoonopuisero"
"383","rt subdudelondon thought done realdonaldtrump pieces still looks close call world desperately awai…"
